사업자등록번호,기업명,대표자명
1058608179,(주)크레딕스,최원식
1058608505,네오크루(주),심상현
1058608562,유니테크인포컴(주),김종수
1058609595,(주)케이티씨인증원,김선문
1058611617,태성에스엔피(주),박임제
1058612746,웹투게더(주),강선영
1058613935,(주)건설연구사,전인식
1058614012,피닉스소프트웨어(주),유학철
1058614399,(주)뉴컴,조미애
1058614496,(주)유티엔씨,김대휴
1058617789,(주)델타텍코리아,이승호
1058618717,(주)윈위즈,임은성
1058622545,(주)준소프트,전창오
1058624413,(주)엔지스소프트,우철호
1058624669,(주)웨인테크놀로지,천성길
1058626575,(주)노리개소프트,오명석
1058626987,인텍솔루션,석경숙
1058627410,(주)인포더,최정식
1058627569,디메이드(주),이경
1058628840,(주)이크레더블,이진옥
1058630521,(주)이프정보시스템,송호섭
1058631501,(주)윈위즈텍,강대식
1058631670,(주)써머스에스티,경종수
1058634003,(주)현암사,조미현
1058634468,(주)삼양미디어,신재석
1058634814,(주)에프엠코리아,이범석
1058638988,이수정보(주),이수구
1058639648,(주)생각과느낌,황호동
1058642968,(주)테마비전,박경근
1058644952,(주)코너스톤인터랙티브,조용연
1058645820,(주)네오메카,최준환
1058646571,(주)도서출판달리,박소연
1058647212,(주)진두아이에스,손관헌
1058647997,(주)인디유니온,서천수
1058648128,(주)유엔시스,이세민
1058648389,(주)개미집소프트,박종찬
1058648400,(주)다우리에프앤에스,김선도
1058648787,디노플러스(주),강경숙
1058649694,(주)이모션픽처스,임재철
1058650075,웹투인(주),김성모
1058650449,(주)엠피아커뮤니케이션,이정준
1058650643,오에스에스,전용안
1058650828,써패스,김승현
1058651322,한남아이티컨설팅(주),소홍선
1058652281,(주)한국산업경제신문사,박인복
1058653067,영화사키노(주),김종원
1058653145,(주)아이티오,박종식
1058653688,(주)아이유아이,박상균
1058653747,(주)세마오일,최규완
1058655726,(주)한국방송영재교육원,이호열
1058656287,(주)케이와이씨,김은주
1058657724,(주)네바퀴의꿈,권용주
1058659455,(주)퓨처인포,우경석
1058660189,(주)브랜드스탁,이덕룡
1058660461,로직큐브(주),이경범
1058660710,한즈미디어(주),김기옥
1058661271,(주)알디스금융시스템,황병삼
1058661572,(주)모노커뮤니케이션즈,이형수
1058661984,(주)에이스엠이,전양원
1058662718,(주)파라북스,김태화
1058663075,(주)에이지이십일,이동희
1058663380,(주)코르푸스,안병학
1058664360,(주)씨에스세븐,임진영
1058664598,(주)디투아이,이점수
1058665694,(주)디콘플러스,김동규
1058666844,(주)이코믹스미디어,정희운
1058669083,(주)위드스토리,이기윤
1058669235,(주)아이티씽크,연규돈
1058669496,(주)좋은생각사람들,정주안
1058672026,주노티엔씨(주),김상일
1058672045,(주)모두스원,임형도
1058675246,디앤씨인터내셔날(주),박경열
1058676056,(주)모션아이,박충일
1058676323,(주)메인라인,최현길
1058677133,(주)아이티뷰로,이창엽
1058677356,(주)비즈트러스트,이상남
1058679728,(주)가이스트코리아,이홍태
1058680303,(주)제이엔디케이,이재식
1058682242,(주)토마토,김형식
1058684497,(주)안셈,양승관
1058685235,(주)그라비티인터랙티브,우재을
1058685517,(주)한솔플러스,김영환
1058686291,(주)톰우시스템,신용호
1058686501,(주)리딩컨버젼스,손석주
1058687378,(주)액티브넷,이선우
1058687441,한겨레엔(주),이상훈
1058688076,올유저닷넷(주),정경태
1058688509,(주)마티아솔루션,배갑철
1058688697,(주)써브나라,고용선
1058688931,(주)기술공간,주봉민
1058689740,(주)북오션,박영욱
1058690820,(주)한시스텍,김정한
1058691590,(주)한국비씨피솔루션즈,최민규
1058692658,(주)젠트로텍,박영준
1058693564,(주)더더씨앤씨,이동률
1058693716,(주)플래시온,박상균
1058700193,(주)드라마드림엔터테인먼트,남택수
1058700572,(주)웁스리눅스,홍석용
1058701227,(주)큐보이드,안치영
1058701872,(주)감성테크놀러지,윤종선
1058702264,이아이티서비스(주),이호균
1058703735,(주)학지사,김진환
1058704340,토네이도미디어그룹(주),김진갑
1058704786,(주)휴머니스트출판그룹,김학원
1058705107,(주)에버온테크,이경환
1058705373,(주)유앤피플,김석영
1058705830,(주)아이로그,최태원
1058706765,(주)미디어솔루션,임용재
1058707013,(주)건우씨엔에스,배진현
1058707032,센게이지러닝코리아(주),송성헌
1058707196,(주)이노크루,이용각
1058707560,(주)청어람미디어,정종호
1058708481,(주)에스엔아이엔씨,백석현
1058709291,(주)맥시브,박상일
1058711104,(주)지식노마드,김중현
1058711399,(주)퓨쳐누리,추정호
1058711614,(주)에이씨에스글로벌,이은일
1058713403,(주)코아메소드,류희석
1058713887,(주)위즈브레인,류광윤
1058713892,(주)꿈씨,김용
1058713908,(주)유니픽스,박영주
1058713999,(주)대니무비,남택수
1058716109,(주)엉뚱상상,정미아
1058716152,(주)텔큐온,김승훈
1058716206,(주)라운드원,신동우
1058716808,(주)나라지식정보,손영호
1058716924,(주)휴엔시스템,최재득
1058717020,(주)카이젠컨설팅,남성욱
1058720374,(주)미디어캔,이호승
1058720850,터닝포인트아카데미,정상석
1058721179,(주)빌리브라운,김수랑
1058721320,(주)인플래닛,염정봉
1058722673,한겨레교육(주),김창석
1058724574,(주)맥스나인,조형기
1058724730,(주)봄날의기록,문미화
1058725971,(주)아이엘엠소프트,김경오
1058726534,(주)봄바람,김상아
1058727343,신화이알피(주),이봉열
1058728814,(주)록스타뮤직앤라이브,나성식
1058728833,(주)블루라이노픽처스,박경준
1058729259,(주)해솔씨엔에스,김기옥
1058729564,(주)제이에스픽쳐스,이진석
1058729680,(주)텐볼스토리,윤민웅
1058730703,(주)비디오가게,이동근
1058731153,(주)디오스토리,김득용
1058731721,(주)블루오렌지시스템,도유석
1058731809,(주)더와이앤비,김문배
1058732190,(주)어나더에프씨,임혜리
1058733262,맹앤앵,정맹섭
1058733296,(주)쏠티북스,유인생
1058733317,(주)에코데일리,조재용
1058733511,(주)한국출판콘텐츠,이중호
1058733660,(주)김진혁공작소,김진혁
1058733826,(주)그린비출판사,유재건
1058734621,(주)넷텐션,정진규
1058735163,(주)포스인텍,최시호
1058735260,에스에코(주),송재은
1058735824,(주)아이케이,조인구
1058736240,(주)태건미디어,유경훈
1058736634,(주)에프알미디어,인용진
1058737119,(주)비엠씨텍,김연수
1058737521,(주)글로넷,이석
1058738821,(주)서울교과서,안혜준
1058739553,(주)코아맥스테크놀로지,남궁규정
1058740588,(주)원,박정철
1058741272,(주)제이앤와이티,이재준
1058741568,위즈코어(주),박덕근
1058741651,(주)다올시스,김대필
1058741928,(주)세계로티브이,김원기
1058742311,(주)에프씨정보,김종훈
1058743120,(주)케이티스정보,원준호
1058743853,(주)보나셀,이시윤
1058744212,(주)앤커웨이브,최민석
1058744487,이지스퍼블리싱(주),이지연
1058745036,(주)더난콘텐츠그룹,신경렬
1058745185,힐인코프(주),김철환
1058745910,(주)타스코,황규봉
1058746170,(주)행성비,임태주
1058746262,(주)넘버쓰리픽쳐스,김미나
1058746447,(주)티티네트웍스,최신식
1058747562,(주)북메이드,손진현
1058747960,(주)해피라이징,오봉서
1058748009,(주)위드경제엠,문현서
1058748028,(주)씨드림,조용진
1058748635,(주)휴먼플러스,신호철
1058748713,(주)티지,전원영
1058748784,(주)에스알시스템,김수정
1058749293,(주)진인웍스,조윤형
1058749575,(주)스타엔트리엔터테인먼트,김영호
1058750131,(주)위키시큐리티,홍진기
1058750470,(주)모멘타,이정근
1058750714,오퍼니티(주),박해정
1058750878,(주)와이랩,심준경
1058750960,현북스(주),김남호
1058751746,동아피엠(주),박병후
1058752221,(주)아이티브레인,강성광
1058752478,(주)시대고시기획시대교육,박영일
1058752653,(주)시지온,김미균
1058752691,(주)퍼플미디어,임성철
1058753405,(주)도서출판멜론,김태광
1058753521,(주)아이플랜네트웍스,김준환
1058753889,(주)아람커뮤니케이션즈,윤도현
1058754326,(주)키아로스쿠로,유경모
1058754350,(주)한국기록원,이용주
1058754461,(주)트램스,한승상
1058754724,(주)아나스타시스,문명관
1058754781,씨알미디어(주),김태용
1058754836,(주)아이티써브,이재욱
1058754966,(주)디자인페이지,김경아
1058755193,(주)해피스토리미디어,장성순
1058756135,(주)힙합플레이야,김용준
