index,사업자등록번호,기업명,대표자명,c_index,c_name
34283,6200859903,엑손,김선욱,58,정보통신업
34284,6201171585,엔플러스,성민경,58,정보통신업
483,1018689108,소레즈(주),이창섭,58,정보통신업
34287,6201840887,비행선스튜디오,강민석,58,정보통신업
480,1018688040,(주)인트로컴퍼니,김경원,58,정보통신업
5286,1058734621,(주)넷텐션,정진규,58,정보통신업
479,1018687435,(주)채널에이미디어텍,윤영섭,58,정보통신업
34263,6180242917,사이버길드,정길숙,58,정보통신업
5280,1058733660,(주)김진혁공작소,김진혁,58,정보통신업
29731,3888600068,(주)트리플렛,신동화,58,정보통신업
5278,1058733511,(주)한국출판콘텐츠,이중호,58,정보통신업
34252,6178617787,(주)위즈네트웍스,배준호,58,정보통신업
5263,1058731153,(주)디오스토리,김득용,58,정보통신업
29758,3898801443,(주)에이아이네트웍스,박기태,58,정보통신업
29757,3898801249,(주)아이에이드,이정진,58,정보통신업
5267,1058731721,(주)블루오렌지시스템,도유석,58,정보통신업
5268,1058731809,(주)더와이앤비,김문배,58,정보통신업
29754,3898701295,(주)닉온컴퍼니,김이삭,58,정보통신업
29753,3898701150,(주)하스퍼,박재성,58,정보통신업
34253,6178618452,(주)엠티,도종규,58,정보통신업
29751,3898600270,(주)공감랩,맹준영,58,정보통신업
29750,3898101745,(주)엔씨지,장충환,58,정보통신업
501,1019002791,복있는사람,박종현,58,정보통신업
5271,1058732190,(주)어나더에프씨,임혜리,58,정보통신업
29747,3893700520,에이치에스정보통신,장혜숙,58,정보통신업
32170,4218800471,(주)제네시스랩,이영복,58,정보통신업
500,1018801877,아름다운책방(주),권오상,58,정보통신업
29744,3891200245,포애드텍,방영길,58,정보통신업
498,1018800882,(주)나우테스아이오티,임중권,58,정보통신업
5274,1058733262,맹앤앵,정맹섭,58,정보통신업
5275,1058733296,(주)쏠티북스,유인생,58,정보통신업
29739,3888701967,(주)제니스아이씨티,박재연,58,정보통신업
5276,1058733317,(주)에코데일리,조재용,58,정보통신업
34258,6178625953,(주)다이음,박경종,58,정보통신업
29736,3888601470,우트(주),박준혜,58,정보통신업
29735,3888600850,씨엘정보(주),김혜란,58,정보통신업
34259,6178626568,(주)고시원넷,이병욱,58,정보통신업
34261,6178701360,(주)제이씨엠,김종오,58,정보통신업
29734,3888600485,(주)한매에스티,이필주,58,정보통신업
29733,3888600355,(주)위즈아이티,박종민,58,정보통신업
34262,6179051666,작두대신,박춘미,58,정보통신업
34256,6178623315,(주)스마트에듀랩,송태성,58,정보통신업
34035,6131467124,코우알라피지,안종덕,58,정보통신업
30082,4018096710,레인보우,이찬호,58,정보통신업
684,1040686281,레인스톤,이우석,58,정보통신업
33769,6068653726,(주)라온에스랩,나기오,58,정보통신업
33770,6068654064,(주)디에이치솔루션,조동환,58,정보통신업
4193,1058165267,엔이능률,주민홍,58,정보통신업
4195,1058168338,(주)오에스에스에듀그룹,오성식,58,정보통신업
33771,6068657057,(주)부산웹,장국환,58,정보통신업
4196,1058168584,(주)레이웍스,한동민,58,정보통신업
30360,4028160426,(주)다온정보기술,노기수,58,정보통신업
30359,4028160367,(유)씨에스에스,구선근,58,정보통신업
4198,1058169021,(주)도서출판길벗,이종원,58,정보통신업
30357,4028160106,(주)아워텍,최경웅,58,정보통신업
33772,6068659865,(주)드림앤비,김영숙,58,정보통신업
33773,6068662147,(주)다누림,김근효,58,정보통신업
4207,1058176221,(주)신영비젼,한주필,58,정보통신업
4213,1058180119,(주)로지시스,이규현,58,정보통신업
4214,1058181025,(주)네트빌,김효제,58,정보통신업
4215,1058181141,(주)산들네트웍스,안정화,58,정보통신업
30349,4028153774,(유)메가시네마,이창숙,58,정보통신업
33774,6068662545,(주)아테나소프트,김규태,58,정보통신업
30346,4028151757,(주)인포피아,박재관,58,정보통신업
33775,6068662773,이츠비(주),김미애,58,정보통신업
33776,6068662884,(주)굳앤트,안수화,58,정보통신업
33778,6069062009,작두대신할매,김경자,58,정보통신업
33779,6070480841,지테크,고원술,58,정보통신업
33780,6070670672,아이테크,양희일,58,정보통신업
33781,6070851820,한빛정보시스템,강성훈,58,정보통신업
33782,6070997046,고미,문창만,58,정보통신업
30345,4028148776,(유)시원,김형모,58,정보통신업
4218,1058183080,(주)시스네트정보,김석철,58,정보통신업
4219,1058184003,(주)아이포더퓨처,오규철,58,정보통신업
33768,6068653314,(주)명성아이티,김정모,58,정보통신업
33783,6071028735,에스티시스템즈,김현철,58,정보통신업
882,1048648498,(주)공간인소프트,김원균,58,정보통신업
